,ID,Name,Age,Nationality,Overall,Potential,Value,Preferred Foot,Body Type,Position,HeightCM,WeightKG,Grade
42,188545,R. Lewandowski,33,Poland,91,91,84.0,Right,Unique,ST,185,81,5
43,181872,22 A. Vidal,34,Chile,81,81,12.0,Right,Unique,SUB,180,75,4
44,240699,N. De la Cruz,25,Uruguay,78,79,16.5,Right,Normal (170-),RM,167,65,4
45,232411,C. Nkunku,24,France,86,89,94.0,Right,Normal (170-185),SUB,175,73,5
46,188377,K. Walker,32,England,85,85,37.5,Right,Unique,RB,183,83,5
47,232656,T. Hernández,24,France,85,90,76.0,Left,Unique,LB,184,81,5
48,186942,İ. Gündoğan,31,Germany,85,85,44.0,Right,Normal (170-185),SUB,180,80,5
49,214097,B. Bourigeaud,28,France,81,81,26.0,Right,Lean (170-185),RW,178,68,4
50,223697,R. Gosens,27,Germany,82,82,29.5,Left,Normal (170-185),LM,183,76,4
51,181291,G. Wijnaldum,31,Netherlands,80,80,17.5,Right,Unique,LCM,175,74,4
52,219683,C. Tolisso,27,France,81,81,27.5,Right,Normal (170-185),RCM,181,81,4
53,202126,H. Kane,28,England,89,89,105.5,Right,Unique,ST,188,89,5
54,193747,Koke,30,Spain,83,83,34.5,Right,Normal (170-185),LCM,176,77,4
55,195479,J. Tavernier,30,England,78,78,12.0,Right,Lean (185+),RB,182,75,4
56,183711,J. Henderson,32,England,83,83,28.5,Right,Normal (170-185),RCM,182,80,4
57,158023,L. Messi,35,Argentina,91,91,54.0,Left,Unique,RW,169,67,5
58,199556,M. Verratti,29,Italy,87,87,77.5,Right,Unique,RCM,165,60,5
59,214047,M. Uribe,31,Colombia,81,81,21.0,Right,Normal (170-185),RCM,183,77,4
60,239053,F. Valverde,23,Uruguay,84,90,66.0,Right,Unique,SUB,182,78,4
61,208722,S. Mané,30,Senegal,89,89,99.5,Right,Unique,ST,174,69,5
62,205632,L. Ocampos,27,Argentina,81,81,27.5,Right,Normal (185+),SUB,188,84,4
63,233927,Lucas Paquetá,24,Brazil,82,87,46.0,Left,Normal (170-185),LCM,180,72,4
64,202648,Sergi Darder,28,Spain,82,82,30.5,Right,Lean (170-185),CAM,180,71,4
65,216393,Y. Tielemans,25,Belgium,84,86,52.5,Right,Normal (170-185),RDM,176,72,4
66,209297,Fred,29,Brazil,80,80,20.5,Left,Lean (170-),CDM,169,62,4
67,218667,Bernardo Silva,27,Portugal,88,88,97.5,Left,Lean (170-185),LCM,173,64,5
68,210035,Grimaldo,26,Spain,82,85,36.5,Left,Lean (170-185),LB,172,67,4
69,234153,Carlos Soler,25,Spain,83,88,53.0,Right,Normal (170-185),LCM,180,76,4
70,224458,Diogo Jota,25,Portugal,85,89,76.0,Right,Normal (170-185),SUB,178,73,5
71,252371,J. Bellingham,19,England,84,91,81.5,Right,Lean (185+),LDM,186,75,4
72,201455,G. Kondogbia,29,Central African Republic,82,82,29.5,Left,Lean (185+),CDM,188,80,4
73,186345,K. Trippier,31,England,84,84,30.5,Right,Normal (170-185),RB,173,71,4
74,173210,19 C. Marchisio,31,Italy,84,84,19.5,Right,Normal (170-185),RES,180,74,4
75,193283,T. Delaney,30,Denmark,81,81,21.5,Left,Normal (170-185),SUB,182,79,4
76,231747,K. Mbappé,23,France,91,95,190.5,Right,Unique,ST,182,73,5
77,269765,S. Obisanya,22,Nigeria,81,88,52.5,Right,Lean (185+),RM,185,77,4
78,183512,Yuri Berchiche,32,Spain,82,82,21.0,Left,Normal (170-185),LB,181,80,4
79,193165,J. Corona,29,Mexico,81,81,25.5,Right,Normal (170-185),RW,173,66,4
80,235008,L. Robertone,25,Argentina,76,80,10.5,Right,Normal (170-185),LCM,175,70,4
81,204923,M. Sabitzer,28,Austria,80,80,21.0,Right,Normal (170-185),SUB,178,76,4
82,208128,H. Çalhanoğlu,28,Turkey,84,84,42.0,Right,Normal (170-185),LCM,178,76,4
83,224293,Rúben Neves,25,Portugal,83,86,47.5,Right,Normal (170-185),RCM,180,80,4
84,173030,Ó. Trejo,34,Argentina,79,79,8.0,Right,Normal (170-185),CAM,180,79,4
85,211748,K. Demirbay,28,Germany,81,81,25.5,Left,Normal (170-185),LDM,183,71,4
86,209889,R. Guerreiro,28,Portugal,82,82,27.5,Left,Normal (170-),LB,170,71,4
87,234396,A. Davies,21,Canada,84,89,60.5,Left,Unique,LB,185,77,4
88,172522,D. Wass,33,Denmark,79,79,11.0,Right,Normal (170-185),SUB,181,74,4
89,240679,T. Koopmeiners,24,Netherlands,80,84,30.0,Left,Normal (170-185),LCM,183,77,4
90,201519,J. Veretout,29,France,79,79,15.0,Right,Normal (170-185),SUB,177,67,4
91,195864,P. Pogba,29,France,85,85,52.5,Right,Unique,RES,191,84,5
92,146536,Jesús Navas,36,Spain,83,83,8.0,Right,Lean (170-),RB,172,60,4
93,210243,Ricardo Pereira,28,Portugal,83,83,33.0,Right,Unique,RB,175,70,4
94,209499,Fabinho,28,Brazil,87,88,77.0,Right,Unique,CDM,188,78,5
95,208421,Saúl,27,Spain,80,81,24.0,Left,Lean (170-185),SUB,184,75,4
96,231478,L. Martínez,24,Argentina,86,90,98.5,Right,Unique,LS,174,72,5
97,189513,Parejo,33,Spain,86,86,42.0,Right,Normal (170-185),LCM,182,74,5
98,226226,G. Lo Celso,26,Argentina,81,83,31.5,Left,Normal (170-185),RES,177,68,4
99,201942,Roberto Firmino,30,Brazil,83,83,35.5,Right,Unique,SUB,181,76,4
100,201389,C. Biraghi,29,Italy,80,80,18.5,Left,Normal (185+),LB,185,78,4
101,20801,Cristiano Ronaldo,37,Portugal,90,90,41.0,Right,Unique,ST,187,83,5
102,228618,F. Mendy,27,France,83,84,38.0,Left,Unique,LB,180,73,4
103,190871,Neymar Jr,30,Brazil,89,89,99.5,Right,Unique,LW,175,68,5
104,173731,G. Bale,32,Wales,81,81,20.5,Left,Unique,RS,185,82,4
105,212242,R. Andrich,27,Germany,81,82,26.5,Right,Normal (185+),RDM,187,83,4
106,225375,K. Laimer,25,Austria,83,84,38.5,Right,Lean (170-185),LDM,180,72,4
107,188350,M. Reus,33,Germany,85,85,33.5,Right,Unique,CAM,180,71,5
108,206511,M. Arnold,28,Germany,80,81,20.5,Left,Normal (170-185),RDM,184,74,4
109,215914,N. Kanté,31,France,89,89,72.0,Right,Unique,RCM,168,70,5
110,216267,A. Robertson,28,Scotland,87,87,72.0,Left,Unique,LB,178,64,5
111,203551,A. Florenzi,31,Italy,79,79,12.5,Right,Unique,SUB,173,67,4
112,13743,17 S. Gerrard,36,England,81,81,1.4,Right,Normal (170-185),RES,183,83,4
113,208418,Y. Carrasco,28,Belgium,85,85,54.5,Right,Lean (185+),LM,185,73,5
114,212523,Anderson Talisca,28,Brazil,82,82,31.0,Left,Unique,CF,190,80,4
115,208618,Lucas Vázquez,31,Spain,81,81,18.5,Right,Normal (170-185),SUB,173,70,4
116,188152,Oscar,30,Brazil,81,81,25.0,Right,Lean (170-185),SUB,179,70,4
117,251573,Renan Lodi,24,Brazil,80,85,29.5,Left,Lean (170-185),SUB,173,68,4
118,195272,M. Faraoni,30,Italy,78,78,12.0,Right,Normal (170-185),RM,180,71,4
119,205686,T. Savanier,30,France,81,81,25.0,Right,Normal (170-185),CAM,172,69,4
120,212207,N. Stanciu,29,Romania,79,79,17.0,Right,Normal (170-),LCM,170,63,4
121,207439,L. Paredes,28,Argentina,80,80,18.5,Right,Normal (170-185),RES,180,75,4
122,205569,J. Ward-Prowse,27,England,81,82,29.5,Right,Normal (170-185),RCM,173,66,4
123,215071,M. Casco,34,Argentina,77,77,3.9,Right,Stocky (170-),RB,170,69,4
124,178518,R. Nainggolan,34,Belgium,76,76,3.5,Right,Unique,RCM,177,89,4
125,165153,K. Benzema,34,France,91,91,64.0,Right,Normal (170-185),CF,185,81,5
126,182521,T. Kroos,32,Germany,88,88,72.0,Right,Normal (170-185),LCM,183,76,5
127,121939,17 P. Lahm,32,Germany,88,88,29.5,Right,Normal (170-),RB,170,66,5
128,178562,É. Banega,34,Argentina,81,81,12.0,Right,Normal (170-185),RCM,176,78,4
129,243576,Pedro Porro,22,Spain,81,87,38.5,Right,Normal (170-185),RWB,173,69,4
130,236791,A. Barák,27,Czech Republic,81,82,30.0,Left,Normal (185+),RF,190,86,4
131,209989,T. Partey,29,Ghana,84,84,36.0,Right,Lean (185+),RCM,185,77,4
132,241637,A. Tchouaméni,22,France,82,89,61.5,Right,Lean (185+),SUB,187,81,4
133,183898,Á. Di María,34,Argentina,84,84,20.0,Left,Unique,RW,180,69,4
134,164169,19 Filipe Luís,32,Brazil,85,85,21.5,Left,Lean (170-185),LB,182,74,5
135,207410,M. Kovačić,28,Croatia,84,84,42.0,Right,Normal (170-185),SUB,176,80,4
136,200104,H. Son,29,Korea Republic,89,89,101.0,Right,Unique,LW,183,78,5
137,189596,T. Müller,32,Germany,87,87,63.0,Right,Lean (185+),CAM,185,76,5
138,214997,Á. Correa,27,Argentina,83,84,42.5,Right,Normal (170-185),SUB,171,70,4
139,192638,Marcos Alonso,31,Spain,79,79,12.5,Left,Lean (185+),SUB,188,85,4
140,155862,Sergio Ramos,36,Spain,84,84,7.5,Right,Unique,RCB,184,82,4
141,180206,M. Pjanić,32,Bosnia and Herzegovina,81,81,20.0,Right,Normal (170-185),SUB,178,72,4
142,226162,E. Buendía,25,Argentina,80,82,26.5,Right,Stocky (170-185),SUB,172,65,4
143,189125,G. Bonaventura,32,Italy,78,78,11.0,Right,Normal (170-185),RCM,181,75,4
144,135455,16 Maicon,33,Brazil,77,77,2.9,Right,Normal (170-185),SUB,184,77,4
145,217870,G. Di Lorenzo,28,Italy,82,82,27.5,Right,Normal (170-185),RB,183,83,4
146,236480,Y. Bissouma,25,Mali,81,86,34.5,Right,Lean (170-185),SUB,182,80,4
147,171877,M. Hamšík,34,Slovakia,80,80,9.5,Right,Normal (170-185),LCM,183,73,4
148,176676,22 Marcelo,33,Brazil,79,79,9.0,Left,Unique,SUB,174,75,4
149,189362,21 Hulk,33,Brazil,80,80,13.0,Left,Stocky (170-185),LW,180,85,4
150,171579,Raúl García,35,Spain,80,80,9.0,Right,Normal (170-185),SUB,184,83,4
151,231866,Rodri,26,Spain,87,89,88.5,Right,Normal (185+),CDM,191,82,5
152,252060,T. Pobega,22,Italy,76,85,17.0,Left,Normal (185+),SUB,188,78,4
153,227813,O. Zinchenko,25,Ukraine,79,82,21.5,Left,Lean (170-185),LB,175,64,4
154,247090,E. Fernández,21,Argentina,78,87,31.5,Right,Normal (170-185),LCM,180,77,4
155,230256,Adryan Zonta,30,Brazil,81,81,22.0,Left,Normal (170-185),LB,172,68,4
156,239231,Cucurella,23,Spain,81,85,34.5,Left,Normal (170-185),SUB,172,66,4
157,198164,Jonathan Viera,32,Spain,80,80,16.5,Right,Lean (170-185),CAM,171,67,4
158,168651,I. Rakitić,34,Croatia,82,82,14.0,Right,Normal (170-185),SUB,184,78,4
159,203535,T. Vilhena,27,Netherlands,76,76,8.0,Left,Stocky (170-185),SUB,175,70,4
160,215798,M. Cornet,25,Côte d'Ivoire,78,81,18.5,Left,Lean (170-185),SUB,179,69,4
161,233419,Raphinha,25,Brazil,83,86,48.0,Left,Lean (170-185),SUB,176,68,4
162,230658,Arthur,25,Brazil,80,82,26.5,Right,Unique,SUB,171,73,4
163,146562,21 Santi Cazorla,35,Spain,82,82,0,Right,Stocky (170-),SUB,168,65,4
164,205498,Jorginho,30,Italy,85,85,51.5,Right,Lean (170-185),LCM,180,68,5
165,210881,J. McGinn,27,Scotland,79,80,20.0,Left,Normal (170-185),RCM,178,68,4
166,236496,M. Guendouzi,23,France,80,86,33.0,Right,Lean (185+),LCM,185,68,4
167,198031,Sérgio Oliveira,30,Portugal,79,79,17.0,Right,Normal (170-185),RCM,181,78,4
168,210008,A. Rabiot,27,France,80,81,24.0,Left,Lean (185+),SUB,192,80,4
169,203483,D. Klaassen,29,Netherlands,79,79,17.0,Right,Normal (170-185),SUB,179,70,4
170,216594,N. Fekir,28,France,85,85,54.5,Left,Stocky (170-185),CAM,173,75,5
171,210406,P. Zieliński,28,Poland,83,83,36.5,Right,Lean (170-185),LCM,180,75,4
172,192883,H. Mkhitaryan,33,Armenia,81,81,16.0,Right,Normal (170-185),SUB,177,75,4
173,248243,E. Camavinga,19,France,79,89,38.0,Left,Lean (170-185),SUB,182,68,4
174,226271,Fabián,26,Spain,83,85,44.5,Left,Normal (185+),RCM,189,70,4
175,138412,J. Milner,36,England,78,78,4.4,Right,Stocky (170-185),SUB,175,70,4
176,191740,Ander Herrera,32,Spain,79,79,14.0,Right,Lean (170-185),SUB,182,71,4
177,156519,H. Herrera,32,Mexico,80,80,16.5,Right,Normal (185+),LCM,185,78,4
178,246191,J. Álvarez,22,Argentina,78,86,32.0,Right,Normal (170-185),SUB,173,71,4
179,240709,R. Baku,24,Germany,80,84,30.0,Right,Normal (170-185),RB,176,75,4
180,223874,V. Rongier,27,France,78,79,16.0,Right,Lean (170-185),RCM,172,70,4
181,239085,E. Haaland,21,Norway,88,94,148.0,Left,Unique,ST,195,94,5
182,222077,M. Locatelli,24,Italy,82,86,40.0,Right,Lean (185+),CDM,185,75,4
183,239301,L. Martínez,24,Argentina,81,86,35.0,Left,Normal (170-185),SUB,178,77,4
184,229752,D. Sow,25,Switzerland,80,82,26.5,Right,Lean (170-185),RCM,184,76,4
185,184943,19 Ramires,31,Brazil,80,80,10.0,Right,Lean (170-185),SUB,179,69,4
186,233064,M. Mount,23,England,84,87,57.5,Right,Lean (170-185),RW,180,74,4
187,189271,F. Coquelin,31,France,80,80,17.5,Right,Normal (170-185),SUB,176,74,4
188,199304,Danilo,30,Brazil,80,80,18.0,Right,Lean (170-185),SUB,184,78,4
189,221363,D. van de Beek,25,Netherlands,79,84,25.5,Right,Unique,SUB,184,74,4
190,208830,J. Vardy,35,England,85,85,23.0,Right,Unique,ST,179,74,5
191,216320,S. Fofana,27,Côte d'Ivoire,81,81,27.5,Right,Normal (185+),LCM,185,74,4
192,253727,L. Provod,25,Czech Republic,75,80,8.0,Left,Normal (185+),SUB,189,84,4
193,203376,V. van Dijk,30,Netherlands,90,90,98.0,Right,Unique,LCB,193,92,5
194,229927,Gerson,25,Brazil,78,82,19.5,Left,Normal (170-185),RF,184,76,4
195,233029,R. Aliendro,31,Argentina,76,76,6.0,Right,Normal (170-185),RCM,173,72,4
196,146954,18 Gabi,33,Spain,81,81,10.5,Right,Normal (170-185),RCM,181,74,4
197,210411,Otávio,27,Portugal,82,82,32.5,Right,Normal (170-185),RM,171,67,4
198,200610,K. Volland,29,Germany,82,82,30.5,Left,Stocky (170-185),SUB,179,85,4
199,223273,M. Pašalić,27,Croatia,81,81,27.5,Right,Normal (185+),RF,188,82,4
200,269760,R. Kent,40,England,83,83,0,Left,Normal (170-185),LCM,182,82,4
201,225201,Álex Berenguer,26,Spain,80,80,23.0,Right,Normal (170-185),SUB,175,73,4
202,234568,Gedson Fernandes,23,Portugal,77,81,15.0,Right,Lean (170-185),LDM,181,71,4
203,223959,L. Torreira,26,Uruguay,81,83,28.5,Right,Normal (170-),LCM,166,60,4
204,227236,A. Zambo Anguissa,26,Cameroon,81,83,28.5,Right,Normal (170-185),CDM,184,78,4
205,222558,R. Karsdorp,27,Netherlands,80,81,22.0,Right,Normal (170-185),RM,184,80,4
206,208461,M. de Roon,31,Netherlands,80,80,15.0,Right,Normal (185+),RCM,185,76,4
207,211093,C. McGregor,29,Scotland,77,77,9.0,Left,Normal (170-185),CDM,178,74,4
208,162347,João Moutinho,35,Portugal,81,81,10.5,Right,Normal (170-),LCM,170,61,4
209,162240,22 M. Dembélé,33,Belgium,79,79,11.0,Left,Normal (185+),LCM,185,85,4
210,247851,Bruno Guimarães,24,Brazil,81,86,38.5,Right,Normal (170-185),CDM,182,74,4
211,242444,João Félix,22,Portugal,84,90,68.5,Right,Unique,LS,181,70,4
212,184200,M. Arnautović,33,Austria,82,82,19.5,Right,Normal (185+),ST,192,83,4
213,231943,Richarlison,25,Brazil,81,84,34.5,Right,Normal (170-185),SUB,181,71,4
214,222665,M. Ødegaard,23,Norway,84,89,63.5,Left,Lean (170-185),CAM,178,68,4
215,251854,Pedri,19,Spain,85,93,116.0,Right,Lean (170-185),LCM,174,61,5
216,208135,A. Doucouré,29,Mali,79,79,17.0,Right,Unique,RCM,184,76,4
217,208093,Gerard Moreno,30,Spain,85,85,53.0,Left,Normal (170-185),RS,180,77,5
218,213648,P. Højbjerg,26,Denmark,83,85,40.5,Right,Normal (185+),LCM,187,84,4
219,216189,Capa,30,Spain,77,77,9.0,Right,Stocky (170-185),SUB,175,75,4
220,135507,22 Fernandinho,36,Brazil,81,81,5.0,Right,Lean (170-185),SUB,179,67,4
221,204539,L. Advíncula,32,Peru,76,76,5.0,Right,Normal (170-185),RB,180,80,4
222,211110,P. Dybala,28,Argentina,86,86,69.5,Left,Unique,LF,177,75,5
223,227535,R. Bentancur,25,Uruguay,79,83,24.5,Right,Lean (185+),RCM,187,73,4
224,199434,D. Tadić,33,Serbia,84,84,26.5,Left,Unique,ST,181,76,4
225,251116,T. Holeš,29,Czech Republic,78,78,12.0,Right,Stocky (170-185),RDM,180,73,4
226,229984,B. Chilwell,25,England,82,85,37.0,Left,Normal (170-185),LWB,180,77,4
227,169051,19 F. Guarín,32,Colombia,74,74,3.2,Right,Stocky (170-185),LDM,183,80,3
228,202884,L. Spinazzola,29,Italy,82,82,27.0,Right,Lean (185+),LM,186,75,4
229,216036,R. Delgado,32,Argentina,73,73,2.0,Left,Normal (170-185),SUB,178,70,3
230,204963,Carvajal,30,Spain,84,84,36.5,Right,Unique,RB,173,73,4
231,236401,N. Mazraoui,24,Morocco,82,86,40.5,Right,Lean (170-185),RB,183,62,4
232,197965,22 Pizzi,31,Portugal,79,79,14.5,Right,Normal (170-185),SUB,177,72,4
233,198784,A. Oxlade-Chamberlain,28,England,77,77,10.5,Right,Normal (170-185),SUB,175,70,4
234,208141,Gabriel,28,Brazil,75,75,5.5,Left,Normal (185+),RES,187,83,4
235,10535,15 Xavi,34,Spain,86,86,15.5,Right,Normal (170-),SUB,170,67,5
236,205070,Portu,30,Spain,78,78,13.5,Right,Normal (170-),RM,167,66,4
237,247030,P. Ševčík,28,Czech Republic,75,75,5.5,Right,Normal (170-185),SUB,172,66,4
238,253124,Matheus Nunes,23,Portugal,79,86,35.0,Right,Normal (170-185),LCM,183,76,4
239,193061,R. Pereyra,31,Argentina,78,78,11.5,Right,Lean (170-185),CM,182,77,4
240,226807,C. Roldan,27,United States,75,75,6.0,Right,Normal (170-185),SUB,173,75,4
241,190717,M. Antonio,32,Jamaica,79,79,14.0,Right,Stocky (170-185),ST,178,82,4
242,199451,W. Ben Yedder,31,France,84,84,35.5,Right,Unique,ST,170,68,4
243,202652,R. Sterling,27,England,86,86,72.5,Right,Unique,ST,170,69,5
244,210315,De Tomás,27,Spain,83,84,42.5,Right,Normal (170-185),ST,180,79,4
245,269770,R. Montlaur,27,France,77,77,10.0,Left,Lean (170-185),SUB,176,70,4
246,246104,R. Gravenberch,20,Netherlands,79,89,38.5,Right,Lean (185+),SUB,190,79,4
247,197083,D. Caligiuri,34,Italy,75,75,2.6,Right,Normal (170-185),RM,182,80,4
248,246669,B. Saka,20,England,82,89,60.5,Left,Lean (170-185),RM,178,65,4
249,230183,Gerson Armão,22,Brazil,78,78,15.0,Left,Normal (185+),LB,186,73,4
250,191043,Alex Sandro,31,Brazil,80,80,15.5,Left,Unique,LB,180,80,4
251,187072,L. Stindl,33,Germany,79,79,11.0,Right,Normal (170-185),CAM,181,80,4
252,224081,K. Phillips,26,England,81,85,32.0,Right,Stocky (170-185),SUB,178,72,4
253,239732,S. Żurkowski,24,Poland,76,82,12.0,Right,Normal (185+),SUB,185,77,4
254,199042,C. Aránguiz,33,Chile,80,80,10.5,Right,Lean (170-185),SUB,171,68,4
255,230251,Melvin Parrela,22,Brazil,79,79,18.5,Right,Normal (185+),SUB,188,88,4
256,243231,E. Mwepu,24,Zambia,76,82,12.0,Right,Normal (170-185),LDM,184,76,4
257,230481,Ronaldo Cabrais,30,Brazil,83,83,35.0,Right,Normal (170-185),RM,177,75,4
258,208450,Andreas Pereira,26,Brazil,76,79,10.0,Right,Normal (170-185),CAM,177,70,4
259,226491,K. Tierney,25,Scotland,81,85,33.0,Left,Normal (170-185),SUB,178,70,4
260,202371,T. Meunier,30,Belgium,78,78,12.0,Right,Normal (185+),RB,191,90,4
261,193352,R. Rodríguez,29,Switzerland,74,74,3.5,Left,Normal (170-185),LCB,182,77,3
262,217036,Álex Moreno,29,Spain,80,80,18.5,Left,Lean (170-185),LB,179,68,4
263,237520,22 M. Camara,24,Guinea,75,80,8.5,Right,Normal (170-185),SUB,182,75,4
264,240471,22 F. Gorriarán,26,Uruguay,77,80,12.5,Right,Normal (170-),RCM,168,68,4
265,239093,J. Clauss,29,France,80,80,18.5,Right,Lean (170-185),RM,178,69,4
266,195861,Y. Rakitskyi,32,Ukraine,79,79,11.5,Left,Normal (185+),LCB,185,83,4
267,226268,F. Dimarco,24,Italy,78,83,20.0,Left,Normal (170-185),SUB,175,75,4
268,237238,S. McTominay,25,Scotland,80,83,25.0,Right,Normal (185+),RCM,193,88,4
269,210324,J. Hofmann,29,Germany,81,81,25.5,Right,Normal (170-185),RM,176,73,4
270,171897,A. Guardado,35,Mexico,77,77,3.0,Left,Lean (170-),LDM,169,67,4
271,190875,22 J. Kucka,34,Slovakia,75,75,2.6,Right,Normal (185+),LCM,186,84,4
272,183498,21 M. Parolo,35,Italy,79,79,4.9,Right,Lean (170-185),SUB,184,75,4
273,201400,Rafinha,29,Brazil,78,78,13.5,Left,Normal (170-185),RES,174,71,4
274,238067,N. Zaniolo,22,Italy,81,88,53.0,Left,Unique,RF,190,75,4
275,193474,I. Gueye,32,Senegal,82,82,20.5,Right,Lean (170-185),SUB,174,66,4
276,210896,M. Sanson,27,France,76,77,8.5,Right,Normal (170-185),SUB,180,73,4
277,247394,D. Kulusevski,22,Sweden,81,87,41.5,Left,Normal (185+),RW,186,75,4
278,224030,M. Lopez,24,France,78,81,19.0,Right,Lean (170-),LDM,167,58,4
279,146530,22 Dani Alves,38,Brazil,77,77,2.3,Right,Normal (170-185),RB,172,70,4
280,212404,F. Bernardeschi,28,Italy,79,79,17.5,Left,Normal (185+),SUB,185,77,4
281,178213,E. Capoue,33,France,80,80,13.0,Right,Lean (185+),RCM,190,80,4
282,211688,Gayà,27,Spain,82,83,32.0,Left,Lean (170-185),LB,172,66,4
283,200949,Lucas Moura,29,Brazil,80,80,20.5,Right,Unique,SUB,174,70,4
284,220697,J. Maddison,25,England,82,84,38.0,Right,Lean (170-185),CAM,175,73,4
285,210739,C. Nielsen,28,Denmark,76,76,7.5,Right,Normal (170-185),CDM,182,76,4
286,231913,F. Aursnes,26,Norway,78,79,15.0,Right,Lean (170-185),RCM,179,71,4
287,216475,Morales,34,Spain,80,80,10.0,Right,Lean (170-185),LS,180,70,4
288,243245,O. Kökçü,21,Turkey,79,86,35.5,Right,Normal (170-185),LCM,175,68,4
289,202556,M. Depay,28,Netherlands,85,85,55.0,Right,Unique,LW,176,78,5
290,206006,E. Alioski,30,North Macedonia,74,74,3.6,Left,Normal (170-185),SUB,172,63,3
291,240950,Pedro Gonçalves,24,Portugal,81,86,39.0,Right,Normal (170-185),RW,173,77,4
292,231318,R. Perraud,24,France,76,82,11.0,Left,Normal (170-185),SUB,173,68,4
293,223154,O. Tufan,27,Turkey,74,75,4.8,Right,Normal (170-185),CAM,179,80,3
294,189575,Muniain,29,Spain,84,84,41.5,Right,Normal (170-),LM,170,66,4
295,213242,A. Tameze,28,France,77,77,10.5,Right,Normal (170-185),RCM,180,78,4
296,226790,W. Ndidi,25,Nigeria,84,86,47.5,Right,Lean (170-185),RES,183,74,4
297,190674,B. André,31,France,79,79,12.5,Right,Normal (170-185),RDM,180,74,4
